pincode,state,district,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,Migration_Score,Birth_Activity,Compliance_Gap
100000,100000,100000,0.0,1.0,217.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0
110001,DELHI,NEW DELHI,91.0,39.0,6.0,331.0,2388.0,1321.0,1416.0,2388.0,91.0,-1282.0
110002,DELHI,CENTRAL DELHI,302.0,79.0,4.0,357.0,3443.0,2992.0,3884.0,3443.0,302.0,-2913.0
110003,DELHI,CENTRAL DELHI,541.0,232.0,84.0,245.0,2447.0,2744.0,3627.0,2447.0,541.0,-2512.0
110004,DELHI,CENTRAL DELHI,10.0,1.0,0.0,6.0,56.0,87.0,18.0,56.0,10.0,-86.0
110005,DELHI,CENTRAL DELHI,619.0,202.0,50.0,834.0,10227.0,4634.0,6424.0,10227.0,619.0,-4432.0
110006,DELHI,NORTH DELHI,778.0,161.0,9.0,1748.0,17100.0,7948.0,11432.0,17100.0,778.0,-7787.0
110007,DELHI,NORTH DELHI,646.0,180.0,18.0,1122.0,13932.0,5675.0,7780.0,13932.0,646.0,-5495.0
110008,DELHI,CENTRAL DELHI,376.0,123.0,18.0,2072.0,19508.0,6469.0,8161.0,19508.0,376.0,-6346.0
110009,DELHI,NORTH WEST DELHI,306.0,71.0,14.0,520.0,6433.0,3241.0,4410.0,6433.0,306.0,-3170.0
110010,DELHI,SOUTH WEST DELHI,113.0,40.0,2.0,197.0,1582.0,1883.0,2578.0,1582.0,113.0,-1843.0
110011,DELHI,CENTRAL DELHI,16.0,2.0,1.0,19.0,108.0,168.0,346.0,108.0,16.0,-166.0
110012,DELHI,CENTRAL DELHI,138.0,25.0,5.0,329.0,3142.0,2452.0,3771.0,3142.0,138.0,-2427.0
110013,DELHI,SOUTH DELHI,117.0,19.0,5.0,56.0,751.0,1515.0,1347.0,751.0,117.0,-1496.0
110014,DELHI,SOUTH DELHI,162.0,33.0,17.0,234.0,3127.0,1852.0,1964.0,3127.0,162.0,-1819.0
110015,DELHI,WEST DELHI,627.0,169.0,22.0,1170.0,11126.0,4642.0,6970.0,11126.0,627.0,-4473.0
110016,DELHI,SOUTH DELHI,184.0,60.0,27.0,152.0,1724.0,1027.0,836.0,1724.0,184.0,-967.0
110017,DELHI,SOUTH DELHI,996.0,307.0,117.0,980.0,10622.0,3766.0,5371.0,10622.0,996.0,-3459.0
110018,DELHI,WEST DELHI,2324.0,752.0,162.0,1493.0,15270.0,8841.0,12116.0,15270.0,2324.0,-8089.0
110019,DELHI,SOUTH DELHI,552.0,116.0,14.0,1594.0,16653.0,6256.0,7045.0,16653.0,552.0,-6140.0
110020,DELHI,SOUTH DELHI,268.0,97.0,7.0,198.0,2055.0,3879.0,4979.0,2055.0,268.0,-3782.0
110021,DELHI,NEW DELHI,152.0,56.0,46.0,249.0,1531.0,1465.0,1706.0,1531.0,152.0,-1409.0
110022,DELHI,SOUTH WEST DELHI,149.0,27.0,14.0,422.0,2911.0,1805.0,2172.0,2911.0,149.0,-1778.0
110023,DELHI,SOUTH WEST DELHI,98.0,24.0,11.0,211.0,1876.0,1050.0,1440.0,1876.0,98.0,-1026.0
110024,DELHI,SOUTH DELHI,196.0,72.0,52.0,99.0,1591.0,1071.0,1400.0,1591.0,196.0,-999.0
110025,DELHI,SOUTH DELHI,871.0,285.0,11.0,2760.0,24145.0,7991.0,10056.0,24145.0,871.0,-7706.0
110026,DELHI,WEST DELHI,87.0,24.0,6.0,102.0,1179.0,877.0,1140.0,1179.0,87.0,-853.0
110027,DELHI,WEST DELHI,740.0,226.0,43.0,1148.0,12041.0,5391.0,9091.0,12041.0,740.0,-5165.0
110028,DELHI,SOUTH WEST DELHI,119.0,27.0,1.0,203.0,2000.0,2105.0,2236.0,2000.0,119.0,-2078.0
110029,DELHI,SOUTH WEST DELHI,135.0,30.0,23.0,81.0,1157.0,677.0,836.0,1157.0,135.0,-647.0
110030,DELHI,SOUTH DELHI,636.0,221.0,47.0,562.0,5711.0,5387.0,8159.0,5711.0,636.0,-5166.0
110031,DELHI,EAST DELHI,409.0,134.0,6.0,3136.0,17371.0,5716.0,7423.0,17371.0,409.0,-5582.0
110032,DELHI,SHAHDARA,1550.0,565.0,56.0,2189.0,14036.0,10167.0,14435.0,14036.0,1550.0,-9602.0
110033,DELHI,NORTH WEST DELHI,814.0,199.0,5.0,3997.0,38251.0,10880.0,17220.0,38251.0,814.0,-10681.0
110034,DELHI,NORTH WEST DELHI,1630.0,566.0,122.0,3802.0,26863.0,6964.0,7548.0,26863.0,1630.0,-6398.0
110035,DELHI,NORTH WEST DELHI,255.0,60.0,1.0,754.0,7249.0,3166.0,4574.0,7249.0,255.0,-3106.0
110036,DELHI,NORTH WEST DELHI,387.0,92.0,4.0,1410.0,6952.0,5194.0,6559.0,6952.0,387.0,-5102.0
110037,DELHI,SOUTH WEST DELHI,763.0,338.0,65.0,2028.0,10371.0,5252.0,4597.0,10371.0,763.0,-4914.0
110038,DELHI,SOUTH WEST DELHI,39.0,13.0,0.0,189.0,1226.0,931.0,719.0,1226.0,39.0,-918.0
110039,DELHI,NORTH WEST DELHI,902.0,368.0,44.0,3021.0,14564.0,8300.0,11912.0,14564.0,902.0,-7932.0
110040,DELHI,NORTH WEST DELHI,1292.0,824.0,92.0,3488.0,13271.0,8875.0,7948.0,13271.0,1292.0,-8051.0
110041,DELHI,WEST DELHI,2115.0,629.0,22.0,7204.0,35266.0,18033.0,27420.0,35266.0,2115.0,-17404.0
110042,DELHI,NORTH WEST DELHI,1061.0,319.0,7.0,4551.0,27811.0,17676.0,29109.0,27811.0,1061.0,-17357.0
110043,DELHI,SOUTH WEST DELHI,1127.0,326.0,9.0,5351.0,36823.0,15104.0,19857.0,36823.0,1127.0,-14778.0
110044,DELHI,SOUTH DELHI,1412.0,368.0,12.0,5792.0,39991.0,19840.0,25972.0,39991.0,1412.0,-19472.0
110045,DELHI,SOUTH WEST DELHI,2158.0,688.0,138.0,3692.0,31795.0,9642.0,11397.0,31795.0,2158.0,-8954.0
110046,DELHI,SOUTH WEST DELHI,282.0,73.0,7.0,1918.0,15741.0,4710.0,5526.0,15741.0,282.0,-4637.0
110047,DELHI,SOUTH DELHI,234.0,62.0,4.0,857.0,5243.0,3335.0,5227.0,5243.0,234.0,-3273.0
110048,DELHI,SOUTH DELHI,129.0,34.0,42.0,131.0,2057.0,908.0,1164.0,2057.0,129.0,-874.0
110049,DELHI,SOUTH DELHI,160.0,23.0,9.0,139.0,1461.0,1391.0,1694.0,1461.0,160.0,-1368.0
110051,DELHI,EAST DELHI,608.0,176.0,22.0,1913.0,17476.0,5216.0,6353.0,17476.0,608.0,-5040.0
110052,DELHI,NORTH WEST DELHI,438.0,91.0,4.0,1610.0,16857.0,7314.0,10083.0,16857.0,438.0,-7223.0
110053,DELHI,NORTH EAST DELHI,2649.0,1140.0,20.0,3173.0,21785.0,22766.0,36544.0,21785.0,2649.0,-21626.0
110054,DELHI,NORTH DELHI,247.0,85.0,15.0,227.0,1873.0,2619.0,3249.0,1873.0,247.0,-2534.0
110055,DELHI,CENTRAL DELHI,572.0,300.0,36.0,537.0,5225.0,3845.0,4225.0,5225.0,572.0,-3545.0
110056,DELHI,NORTH WEST DELHI,26.0,6.0,1.0,22.0,237.0,448.0,353.0,237.0,26.0,-442.0
110057,DELHI,SOUTH WEST DELHI,145.0,43.0,24.0,180.0,2385.0,1565.0,1823.0,2385.0,145.0,-1522.0
110058,DELHI,WEST DELHI,152.0,35.0,3.0,197.0,2049.0,1765.0,2300.0,2049.0,152.0,-1730.0
110059,DELHI,WEST DELHI,7297.0,2425.0,740.0,11402.0,104241.0,24328.0,32736.0,104241.0,7297.0,-21903.0
110060,DELHI,CENTRAL DELHI,42.0,9.0,2.0,42.0,646.0,329.0,485.0,646.0,42.0,-320.0
110061,DELHI,SOUTH WEST DELHI,281.0,173.0,97.0,182.0,1580.0,1862.0,1699.0,1580.0,281.0,-1689.0
110062,DELHI,SOUTH DELHI,2081.0,519.0,22.0,3713.0,47075.0,21305.0,29062.0,47075.0,2081.0,-20786.0
110063,DELHI,WEST DELHI,316.0,66.0,7.0,1893.0,16259.0,3425.0,4321.0,16259.0,316.0,-3359.0
110064,DELHI,SOUTH WEST DELHI,119.0,38.0,4.0,336.0,3631.0,1908.0,2449.0,3631.0,119.0,-1870.0
110065,DELHI,SOUTH DELHI,513.0,151.0,56.0,293.0,3026.0,3089.0,3129.0,3026.0,513.0,-2938.0
110066,DELHI,SOUTH WEST DELHI,34.0,9.0,10.0,69.0,502.0,539.0,653.0,502.0,34.0,-530.0
110067,DELHI,SOUTH WEST DELHI,92.0,28.0,15.0,104.0,1072.0,1129.0,1040.0,1072.0,92.0,-1101.0
110068,DELHI,SOUTH DELHI,150.0,68.0,5.0,274.0,3355.0,1791.0,1891.0,3355.0,150.0,-1723.0
110069,DELHI,CENTRAL DELHI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
110070,DELHI,SOUTH WEST DELHI,389.0,160.0,59.0,618.0,5547.0,1980.0,2339.0,5547.0,389.0,-1820.0
110071,DELHI,SOUTH WEST DELHI,213.0,58.0,2.0,544.0,3508.0,2382.0,2715.0,3508.0,213.0,-2324.0
110072,DELHI,SOUTH WEST DELHI,70.0,10.0,0.0,115.0,1048.0,954.0,967.0,1048.0,70.0,-944.0
110073,DELHI,SOUTH WEST DELHI,99.0,6.0,0.0,103.0,826.0,1949.0,1599.0,826.0,99.0,-1943.0
110074,DELHI,SOUTH DELHI,729.0,213.0,17.0,1251.0,11790.0,5466.0,6477.0,11790.0,729.0,-5253.0
110075,DELHI,SOUTH WEST DELHI,254.0,35.0,5.0,1024.0,8571.0,2257.0,2624.0,8571.0,254.0,-2222.0
110076,DELHI,SOUTH DELHI,447.0,90.0,3.0,849.0,9623.0,5237.0,8245.0,9623.0,447.0,-5147.0
110077,DELHI,SOUTH WEST DELHI,481.0,116.0,18.0,1555.0,10650.0,3760.0,3663.0,10650.0,481.0,-3644.0
110078,DELHI,SOUTH WEST DELHI,453.0,68.0,6.0,1057.0,6842.0,4065.0,4136.0,6842.0,453.0,-3997.0
110080,DELHI,SOUTH DELHI,290.0,37.0,0.0,568.0,4537.0,2220.0,2292.0,4537.0,290.0,-2183.0
110081,DELHI,NORTH WEST DELHI,494.0,91.0,2.0,676.0,4614.0,6029.0,10320.0,4614.0,494.0,-5938.0
110082,DELHI,NORTH WEST DELHI,203.0,49.0,5.0,356.0,1922.0,2586.0,3876.0,1922.0,203.0,-2537.0
110083,DELHI,NORTH WEST DELHI,405.0,63.0,4.0,1250.0,8160.0,6966.0,12326.0,8160.0,405.0,-6903.0
110084,DELHI,NORTH DELHI,970.0,373.0,12.0,6220.0,44678.0,9400.0,12727.0,44678.0,970.0,-9027.0
